,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2
188,2019-553,32,Carmen_Lii-TARGAMAA-37516,17,371, ESTONIA,0.0,2.0,Alessandra_Valeri-AICARDI_GONZALEZ-35412,22,209, PANAMA,0.0,2.0, V/15,  D/14
189,2019-553,32,Sandra-SKOBLOV-39227,17,354, ESTONIA,1.0,2.0,Selma-MUSTONEN-30517,22,403, FINLAND,0.0,2.0, V/13,  D/11
190,2019-553,32,Emelie-MUMM-26800,23,137, SWEDEN,0.0,2.0,Irina-EMBRICH-9370,38,68, ESTONIA,1.0,2.0, D/11,  V/15
191,2019-553,16,Dorina-BUDAI-19630,26,43, HUNGARY,0.0,2.0,Madina-AZIZOVA-32545,22,321, ESTONIA,0.0,2.0, V/15,  D/4
192,2019-553,16,Nelli-DIFFERT-19933,28,126, ESTONIA,0.0,2.0,Julia-BELJAJEVA-20450,26,28, ESTONIA,0.0,2.0, D/9,  V/15
193,2019-553,16,Katrina-LEHIS-24108,24,9, ESTONIA,1.0,2.0,Thale-HILLE_DAHL-29774,24,362, NORWAY,1.0,2.0, V/15,  D/5
194,2019-553,16,Asa-LINDE-29653,21,107, SWEDEN,0.0,2.0,Elvira-MARTENSSON-32689,19,165, SWEDEN,1.0,2.0, V/15,  D/13
195,2019-553,16,Kristina-KUUSK-2611,33,25, ESTONIA,0.0,2.0,Karoliine-LOIT-34454,18,349, ESTONIA,0.0,2.0, V/15,  D/11
196,2019-553,16,Paulina-BAJORUNAITE-24440,25,250, LITHUANIA,0.0,2.0,Ilona-SYVALA-30387,22,274, FINLAND,0.0,2.0, D/14,  V/15
197,2019-553,16,Anna-SALMINEN-25895,23,160, FINLAND,0.0,2.0,Carmen_Lii-TARGAMAA-37516,17,371, ESTONIA,0.0,2.0, V/15,  D/13
198,2019-553,16,Sandra-SKOBLOV-39227,17,354, ESTONIA,1.0,2.0,Irina-EMBRICH-9370,38,68, ESTONIA,1.0,2.0, D/1,  V/15
199,2019-553,8,Dorina-BUDAI-19630,26,43, HUNGARY,0.0,2.0,Julia-BELJAJEVA-20450,26,28, ESTONIA,0.0,2.0, D/6,  V/15
200,2019-553,8,Katrina-LEHIS-24108,24,9, ESTONIA,1.0,2.0,Asa-LINDE-29653,21,107, SWEDEN,0.0,2.0, D/8,  V/15
