,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
2247,Francesco-LUCCI-30403,23,9999999, ITALY, Right, Epée 
2248,Francesco-MALENA-28679,26,9999999, ITALY, Right, Sabre 
2249,Francesco-SALVO-37562,20,9999999, ITALY, Right, Foil 
2250,Francesco-TIBERI-14568,64,9999999, ITALY, Left, Foil 
2251,Francesco-TRANI-18369,27,61, ITALY, Right, Foil 
2252,Francesco_Eugenio-NEGRO-36138,74,9999999, ITALY, Right, Sabre 
2253,Francesco_Matteo-CURATOLO-40053,20,560, ITALY, Right, Epée 
2254,Francis-MARCOGLIESE-23612,27,9999999, CANADA, Left, Epée 
2255,Francisco-CASTILLO-46532,17,9999999, VENEZUELA, Right, Sabre 
2256,Francisco-LIMARDO-12246,31,40, VENEZUELA, Right, Epée 
2257,Franciszek-KOC-45396,18,9999999, POLAND, Right, Epée 
2258,Francois-CAUCHON-38863,18,320, CANADA, Right, Sabre 
2261,Francois-GAUDRY-29551,68,9999999, FRANCE, Right, Epée 
2263,Francois-OUIMET-43037,24,488, CANADA, Right, Epée 
2264,Francois-RINGEISSEN-8858,68,9999999, FRANCE, Right, Epée 
2265,Francois-SZUBA-38770,54,9999999, FRANCE, Right, Foil 
2267,Francois_Xavier-FEROT-21916,27,264, BELGIUM, Right, Epée 
2269,Francoise-ROUSSET-19267,65,9999999, FRANCE, Right, Sabre 
2270,Frania-TEJEDA-34795,20,706, MEXICO, Right, Epée 
2271,Frank-HEWITT-38523,73,9999999, USA, Right, Epée 
2273,Franklin_Ernir-KRISTJANSSON-41555,16,372, ICELAND, Right, Sabre 
2274,Frans-SWENNEN-31746,21,9999999, BELGIUM, Left, Sabre 
2275,Frantisek-RYNES-22904,68,9999999, CZECH REPUBLIC, Right, Epée 
2277,Franziska-MAYR-42207,19,9999999, GERMANY, Right, Epée 
2278,Franziska-SCHMITZ-24669,25,296, GERMANY, Right, Foil 
2279,Franziska-Schmitz-24669,25,296, GERMANY, Right, Foil 
2280,Frauke-HOHLBEIN-10346,56,9999999, GERMANY, Right, Epée 
