,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
6266,Ulrich-ROBEIRI-3013,36,9999999, FRANCE, Right, Epée 
6268,Ulyana-BALAGANSKAYA-28698,25,87, KAZAKHSTAN, Right, Epée 
6272,Uros-BALENT-5898,38,9999999, SLOVENIA, Right, Epée 
6274,Ursula-HINTERSEER-8556,61,9999999, AUSTRIA, Right, Epée 
6278,Ute-SCHIFFMANN-41758,72,9999999, GERMANY, Right, Epée 
6281,Uwe-KIRSCHEN-28262,51,621, GERMANY, Right, Epée 
6282,VAN_BRUMMEN-Anna-26304,24,211, USA, Right, Epée 
6284,Vaclav-LOKAJ-35886,20,9999999, CZECH REPUBLIC, Right, Epée 
6285,Vadim-ANOKHIN-22390,27,34, RUSSIA, Right, Epée 
6287,Vadim-SHARLAIMOV-31032,22,117, KAZAKHSTAN, Right, Epée 
6288,Vadym-IEGOROV-46385,46,9999999, ISRAEL, Right, Epée 
6289,Vahid-ZOLFAGHARI-11533,31,9999999, IRAN, Right, Epée 
6290,Vaidotas-PETRAITIS-5120,34,9999999, LITHUANIA, Right, Epée 
6291,Vaino-PAAVOLAINEN-38937,19,557, FINLAND, Right, Epée 
